product,content,date_time,sentiments
Xiaomi,The Xiaomi is really sleek and fast.,2016-08-31 15:00:38,t
iPhone,The camera on the iPhone is disappointing.,2016-08-08 04:43:35,t
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-07-07 00:07:50,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-04 11:25:50,t
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-27 07:44:22,t
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-09-05 20:07:10,t
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-01 19:47:08,t
OnePlus,The camera on the OnePlus is disappointing.,2016-09-04 12:00:07,t
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-07-02 06:00:59,t
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-12 02:03:04,t
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-09-23 10:41:09,t
OnePlus,Battery life on the OnePlus could be better.,2016-07-01 06:53:40,t
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-08-31 16:37:23,t
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-25 00:41:01,t
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-07-22 10:24:01,t
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-20 05:04:41,t
OnePlus,The camera on the OnePlus is disappointing.,2016-08-01 11:36:33,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-04 14:19:29,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-20 16:40:47,t
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-07-18 11:34:36,t
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-09-11 20:42:46,t
iPhone,Battery life on the iPhone is excellent.,2016-09-25 04:41:58,t
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-08-21 10:23:08,t
Google Pixel,The Google Pixel keeps crashing. Frustrated!,2016-07-11 01:11:32,t
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-05 21:06:44,t
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-08-31 13:51:47,t
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-28 03:59:30,t
Google Pixel,The Google Pixel is a great value for the price.,2016-09-04 19:28:41,t
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-07-04 13:12:39,t
Google Pixel,The Google Pixel is really sleek and fast.,2016-09-28 17:04:13,t
Samsung Galaxy,My Samsung Galaxy is slower than expected.,2016-07-27 02:29:51,t
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-08 05:26:07,t
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-08 22:03:25,t
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-25 08:14:16,t
Google Pixel,Battery life on the Google Pixel is excellent.,2016-09-22 02:26:55,t
OnePlus,My OnePlus is slower than expected.,2016-08-21 12:16:38,t
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-21 08:22:32,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-26 12:45:26,t
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-15 23:24:44,t
Google Pixel,The Google Pixel has exceeded my expectations!,2016-08-22 04:19:03,t
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-11 14:38:26,t
Xiaomi,My Xiaomi is slower than expected.,2016-08-17 03:10:26,t
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-24 04:09:31,t
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-02 11:38:03,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-13 23:53:52,t
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-26 04:58:45,t
OnePlus,My OnePlus runs all my apps smoothly.,2016-09-14 04:55:20,t
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-08-17 16:35:51,t
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-20 18:52:18,t
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-09-19 11:39:46,t
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-12 17:45:56,t
OnePlus,The OnePlus is a great value for the price.,2016-07-20 07:09:39,t
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-20 07:00:46,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-29 15:26:20,t
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-09-21 23:37:07,t
Google Pixel,My Google Pixel is slower than expected.,2016-08-01 18:37:15,t
iPhone,The camera quality on the iPhone is amazing.,2016-07-27 22:43:48,t
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-12 09:30:51,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-02 12:19:54,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-28 09:01:29,t
iPhone,Battery life on the iPhone could be better.,2016-07-24 21:32:30,t
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-15 11:21:00,t
Google Pixel,My Google Pixel is slower than expected.,2016-07-17 13:03:19,t
iPhone,The iPhone is a great value for the price.,2016-09-11 01:35:31,t
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-19 09:40:01,t
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-06 07:58:02,t
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-09-28 13:12:20,t
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-21 21:30:22,t
iPhone,My iPhone is slower than expected.,2016-08-31 00:24:05,t
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-12 22:09:29,t
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-13 10:24:33,t
iPhone,My iPhone is slower than expected.,2016-07-23 20:22:56,t
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-07-11 06:48:37,t
iPhone,My iPhone is slower than expected.,2016-08-02 11:56:44,t
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-09-06 05:50:23,t
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-08-05 10:10:00,t
iPhone,I regret buying the iPhone. Not worth the money.,2016-07-07 17:02:08,t
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-08-07 17:26:56,t
iPhone,The iPhone is a great value for the price.,2016-07-27 18:02:53,t
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-09 18:52:57,t
iPhone,The iPhone has exceeded my expectations!,2016-09-29 14:54:53,t
iPhone,My iPhone runs all my apps smoothly.,2016-07-23 05:31:06,t
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-07-23 08:28:01,t
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-15 07:20:39,t
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-17 11:25:36,t
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-01 08:42:13,t
Xiaomi,The Xiaomi is a great value for the price.,2016-07-31 13:59:20,t
Google Pixel,Why is my Google Pixel overheating?,2016-07-09 07:11:23,t
OnePlus,I regret buying the OnePlus. Not worth the money.,2016-07-27 01:47:03,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-22 16:31:38,t
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-09-22 21:09:37,t
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-29 02:11:51,t
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-23 15:15:04,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-23 02:35:34,t
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-03 10:23:10,t
iPhone,The iPhone is a great value for the price.,2016-08-25 00:27:24,t
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-10 09:20:24,t
iPhone,The camera quality on the iPhone is amazing.,2016-07-07 01:10:43,t
Xiaomi,The Xiaomi is a great value for the price.,2016-09-17 23:38:34,t
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-24 06:49:09,t
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-07 21:50:36,t
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-19 07:58:30,t
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-31 15:41:28,t
iPhone,The camera on the iPhone is disappointing.,2016-07-12 13:28:34,t
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-01 18:49:22,t
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-01 14:03:49,t
iPhone,The iPhone is really sleek and fast.,2016-07-25 03:40:28,t
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-09 04:24:15,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-23 13:47:11,t
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-19 04:19:21,t
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-14 18:50:23,t
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-29 16:07:57,t
Xiaomi,The camera on the Xiaomi is disappointing.,2016-08-03 04:22:34,t
OnePlus,Just got my new OnePlus! Loving it so far.,2016-09-12 20:57:51,t
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-07 23:22:44,t
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-22 20:53:34,t
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-18 04:21:11,t
Google Pixel,The Google Pixel is a great value for the price.,2016-09-26 01:57:50,t
Google Pixel,The Google Pixel is a great value for the price.,2016-07-15 08:31:01,t
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-23 23:47:07,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-28 09:58:56,t
iPhone,My iPhone is slower than expected.,2016-07-26 19:10:13,t
iPhone,The iPhone has exceeded my expectations!,2016-09-07 11:07:00,t
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-07-27 08:01:41,t
iPhone,The camera on the iPhone is disappointing.,2016-07-27 18:18:06,t
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-07 12:20:54,t
Xiaomi,My Xiaomi is slower than expected.,2016-08-13 06:23:42,t
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-15 06:54:10,t
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-09-14 14:51:44,t
Xiaomi,Why is my Xiaomi overheating?,2016-08-25 09:50:59,t
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-09-02 03:21:11,t
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-11 13:24:12,t
OnePlus,Battery life on the OnePlus could be better.,2016-07-24 08:41:55,t
Google Pixel,My Google Pixel is slower than expected.,2016-08-12 21:06:09,t
iPhone,The iPhone is a great value for the price.,2016-08-08 14:07:18,t
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-07 19:37:24,t
OnePlus,The OnePlus has exceeded my expectations!,2016-08-06 07:08:38,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-07 17:08:28,t
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-20 09:26:49,t
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-04 13:23:22,t
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-08-28 09:30:07,t
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-21 22:25:17,t
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-09-12 02:05:22,t
OnePlus,The OnePlus has exceeded my expectations!,2016-09-16 04:41:03,t
iPhone,Really happy with the performance of my new iPhone.,2016-08-14 03:03:20,t
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-01 23:44:19,t
OnePlus,The OnePlus is really sleek and fast.,2016-08-06 15:09:03,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-22 14:18:05,t
iPhone,The iPhone has exceeded my expectations!,2016-07-17 22:39:07,t
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-18 13:24:47,t
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-27 06:20:32,t
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-01 07:47:34,t
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-23 07:07:31,t
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-06 16:03:13,t
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-04 22:35:43,t
OnePlus,The OnePlus is really sleek and fast.,2016-07-23 01:42:59,t
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-18 20:01:45,t
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-21 15:05:36,t
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-11 02:33:40,t
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-03 06:23:44,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-05 09:49:43,t
OnePlus,The OnePlus is really sleek and fast.,2016-07-22 14:26:35,t
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-07 14:44:27,t
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-08-06 08:54:14,t
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-07-22 03:22:54,t
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-05 00:26:40,t
OnePlus,Really happy with the performance of my new OnePlus.,2016-07-08 18:31:08,t
Google Pixel,The camera on the Google Pixel is disappointing.,2016-09-29 16:10:32,t
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-29 08:33:24,t
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-22 16:10:59,t
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-31 05:15:34,t
Xiaomi,The Xiaomi is a great value for the price.,2016-07-07 09:07:45,t
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-16 10:17:52,t
OnePlus,Battery life on the OnePlus is excellent.,2016-09-11 16:12:38,t
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-05 05:19:47,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-14 18:48:02,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-21 04:56:56,t
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-14 19:12:40,t
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-11 22:54:32,t
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-29 14:46:33,t
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-09-19 08:16:58,t
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-29 23:42:19,t
Xiaomi,The Xiaomi is a great value for the price.,2016-08-22 13:01:13,t
iPhone,Battery life on the iPhone could be better.,2016-09-04 18:42:17,t
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-18 06:35:25,t
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-14 04:07:00,t
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-26 17:15:45,t
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-11 09:12:36,t
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-24 15:37:53,t
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-15 19:52:34,t
OnePlus,Why is my OnePlus overheating?,2016-08-21 21:15:05,t
Xiaomi,The Xiaomi has exceeded my expectations!,2016-07-04 04:17:34,t
OnePlus,My OnePlus runs all my apps smoothly.,2016-07-27 00:59:48,t
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-09-09 00:03:43,t
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-30 06:13:30,t
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-07-01 18:27:10,t
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-15 05:32:49,t
Google Pixel,Why is my Google Pixel overheating?,2016-08-12 16:14:07,t
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-08-28 21:26:27,t
OnePlus,Battery life on the OnePlus is excellent.,2016-09-13 21:37:40,t
OnePlus,My OnePlus runs all my apps smoothly.,2016-07-27 00:44:52,t
iPhone,The iPhone has exceeded my expectations!,2016-08-06 19:51:38,t
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-08 03:31:38,t
iPhone,I regret buying the iPhone. Not worth the money.,2016-07-28 16:11:30,t
iPhone,The camera on the iPhone is disappointing.,2016-07-02 19:58:28,t
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-09-23 19:49:01,t
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-29 17:54:16,t
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-09-29 14:25:48,t
Google Pixel,Why is my Google Pixel overheating?,2016-08-20 15:20:39,t
Xiaomi,Battery life on the Xiaomi could be better.,2016-08-31 19:09:25,t
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-14 23:23:26,t
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-22 18:09:34,t
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-10 16:21:10,t
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-22 18:38:27,t
Xiaomi,My Xiaomi is slower than expected.,2016-08-19 04:59:19,t
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-08-09 11:32:46,t
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-27 08:10:51,t
Xiaomi,My Xiaomi is slower than expected.,2016-08-04 23:17:32,t
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-13 21:57:26,t
iPhone,The camera on the iPhone is disappointing.,2016-09-05 19:35:57,t
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-09-23 19:26:30,t
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-06 12:24:01,t
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-25 13:03:17,t
iPhone,The iPhone is a great value for the price.,2016-07-02 21:49:39,t
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-22 19:45:32,t
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-19 22:33:46,t
OnePlus,The camera quality on the OnePlus is amazing.,2016-07-09 15:51:16,t
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-21 11:32:08,t
OnePlus,Why is my OnePlus overheating?,2016-09-16 14:23:11,t
Xiaomi,My Xiaomi is slower than expected.,2016-09-04 00:32:29,t
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-08-07 00:49:25,t
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-18 08:36:54,t
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-07 13:56:21,t
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-08-20 05:02:21,t
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-07 22:00:27,t
