product,content,date_time
Google Pixel,The Google Pixel has exceeded my expectations!,2016-08-22 04:19:03
Samsung Galaxy,The Samsung Galaxy keeps crashing. Frustrated!,2016-08-11 14:38:26
Xiaomi,My Xiaomi is slower than expected.,2016-08-17 03:10:26
iPhone,I regret buying the iPhone. Not worth the money.,2016-09-24 04:09:31
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-02 11:38:03
Xiaomi,Battery life on the Xiaomi is excellent.,2016-09-13 23:53:52
Xiaomi,Experiencing connectivity issues with the Xiaomi.,2016-07-26 04:58:45
OnePlus,My OnePlus runs all my apps smoothly.,2016-09-14 04:55:20
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-08-17 16:35:51
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-20 18:52:18
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-09-19 11:39:46
iPhone,I'm impressed with the build quality of the iPhone.,2016-09-12 17:45:56
OnePlus,The OnePlus is a great value for the price.,2016-07-20 07:09:39
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-20 07:00:46
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-07-29 15:26:20
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-09-21 23:37:07
Google Pixel,My Google Pixel is slower than expected.,2016-08-01 18:37:15
iPhone,The camera quality on the iPhone is amazing.,2016-07-27 22:43:48
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-08-12 09:30:51
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-08-02 12:19:54
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-28 09:01:29
iPhone,Battery life on the iPhone could be better.,2016-07-24 21:32:30
Google Pixel,Really happy with the performance of my new Google Pixel.,2016-07-15 11:21:00
Google Pixel,My Google Pixel is slower than expected.,2016-07-17 13:03:19
iPhone,The iPhone is a great value for the price.,2016-09-11 01:35:31
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-19 09:40:01
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-06 07:58:02
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-09-28 13:12:20
iPhone,The display on the iPhone is so vibrant and clear.,2016-08-21 21:30:22
iPhone,My iPhone is slower than expected.,2016-08-31 00:24:05
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-12 22:09:29
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-07-13 10:24:33
iPhone,My iPhone is slower than expected.,2016-07-23 20:22:56
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-07-11 06:48:37
iPhone,My iPhone is slower than expected.,2016-08-02 11:56:44
Samsung Galaxy,The camera on the Samsung Galaxy is disappointing.,2016-09-06 05:50:23
Samsung Galaxy,Having some issues with my Samsung Galaxy. Anyone else?,2016-08-05 10:10:00
iPhone,I regret buying the iPhone. Not worth the money.,2016-07-07 17:02:08
Google Pixel,The camera quality on the Google Pixel is amazing.,2016-08-07 17:26:56
iPhone,The iPhone is a great value for the price.,2016-07-27 18:02:53
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-09 18:52:57
iPhone,The iPhone has exceeded my expectations!,2016-09-29 14:54:53
iPhone,My iPhone runs all my apps smoothly.,2016-07-23 05:31:06
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-07-23 08:28:01
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-15 07:20:39
Google Pixel,I regret buying the Google Pixel. Not worth the money.,2016-09-17 11:25:36
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-01 08:42:13
Xiaomi,The Xiaomi is a great value for the price.,2016-07-31 13:59:20
Google Pixel,Why is my Google Pixel overheating?,2016-07-09 07:11:23
OnePlus,I regret buying the OnePlus. Not worth the money.,2016-07-27 01:47:03
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-22 16:31:38
Google Pixel,I'm impressed with the build quality of the Google Pixel.,2016-09-22 21:09:37
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-29 02:11:51
Samsung Galaxy,Just got my new Samsung Galaxy! Loving it so far.,2016-09-23 15:15:04
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-23 02:35:34
Xiaomi,The Xiaomi has exceeded my expectations!,2016-09-03 10:23:10
iPhone,The iPhone is a great value for the price.,2016-08-25 00:27:24
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-10 09:20:24
iPhone,The camera quality on the iPhone is amazing.,2016-07-07 01:10:43
Xiaomi,The Xiaomi is a great value for the price.,2016-09-17 23:38:34
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-24 06:49:09
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-08-07 21:50:36
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-08-19 07:58:30
iPhone,Having some issues with my iPhone. Anyone else?,2016-08-31 15:41:28
iPhone,The camera on the iPhone is disappointing.,2016-07-12 13:28:34
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-07-01 18:49:22
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-01 14:03:49
iPhone,The iPhone is really sleek and fast.,2016-07-25 03:40:28
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-09 04:24:15
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-23 13:47:11
Google Pixel,Experiencing connectivity issues with the Google Pixel.,2016-09-19 04:19:21
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-14 18:50:23
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-29 16:07:57
Xiaomi,The camera on the Xiaomi is disappointing.,2016-08-03 04:22:34
OnePlus,Just got my new OnePlus! Loving it so far.,2016-09-12 20:57:51
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-07 23:22:44
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-07-22 20:53:34
Google Pixel,Having some issues with my Google Pixel. Anyone else?,2016-08-18 04:21:11
Google Pixel,The Google Pixel is a great value for the price.,2016-09-26 01:57:50
Google Pixel,The Google Pixel is a great value for the price.,2016-07-15 08:31:01
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-08-23 23:47:07
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-09-28 09:58:56
iPhone,My iPhone is slower than expected.,2016-07-26 19:10:13
iPhone,The iPhone has exceeded my expectations!,2016-09-07 11:07:00
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-07-27 08:01:41
iPhone,The camera on the iPhone is disappointing.,2016-07-27 18:18:06
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-07 12:20:54
Xiaomi,My Xiaomi is slower than expected.,2016-08-13 06:23:42
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-07-15 06:54:10
Samsung Galaxy,Battery life on the Samsung Galaxy is excellent.,2016-09-14 14:51:44
Xiaomi,Why is my Xiaomi overheating?,2016-08-25 09:50:59
Samsung Galaxy,I regret buying the Samsung Galaxy. Not worth the money.,2016-09-02 03:21:11
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-11 13:24:12
OnePlus,Battery life on the OnePlus could be better.,2016-07-24 08:41:55
Google Pixel,My Google Pixel is slower than expected.,2016-08-12 21:06:09
iPhone,The iPhone is a great value for the price.,2016-08-08 14:07:18
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-07 19:37:24
OnePlus,The OnePlus has exceeded my expectations!,2016-08-06 07:08:38
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-08-07 17:08:28
Google Pixel,Battery life on the Google Pixel could be better.,2016-07-20 09:26:49
Samsung Galaxy,Experiencing connectivity issues with the Samsung Galaxy.,2016-09-04 13:23:22
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-08-28 09:30:07
Google Pixel,My Google Pixel runs all my apps smoothly.,2016-07-21 22:25:17
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-09-12 02:05:22
OnePlus,The OnePlus has exceeded my expectations!,2016-09-16 04:41:03
iPhone,Really happy with the performance of my new iPhone.,2016-08-14 03:03:20
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-01 23:44:19
OnePlus,The OnePlus is really sleek and fast.,2016-08-06 15:09:03
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-08-22 14:18:05
iPhone,The iPhone has exceeded my expectations!,2016-07-17 22:39:07
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-08-18 13:24:47
Xiaomi,Battery life on the Xiaomi could be better.,2016-07-27 06:20:32
iPhone,Experiencing connectivity issues with the iPhone.,2016-07-01 07:47:34
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-09-23 07:07:31
Google Pixel,Touchscreen on my Google Pixel is unresponsive at times.,2016-09-06 16:03:13
Xiaomi,The camera quality on the Xiaomi is amazing.,2016-09-04 22:35:43
OnePlus,The OnePlus is really sleek and fast.,2016-07-23 01:42:59
Samsung Galaxy,My Samsung Galaxy runs all my apps smoothly.,2016-09-18 20:01:45
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-21 15:05:36
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-08-11 02:33:40
Xiaomi,The camera on the Xiaomi is disappointing.,2016-07-03 06:23:44
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-09-05 09:49:43
OnePlus,The OnePlus is really sleek and fast.,2016-07-22 14:26:35
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-07 14:44:27
OnePlus,Not too impressed with the OnePlus. Expected more.,2016-08-06 08:54:14
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-07-22 03:22:54
OnePlus,The display on the OnePlus is so vibrant and clear.,2016-09-05 00:26:40
OnePlus,Really happy with the performance of my new OnePlus.,2016-07-08 18:31:08
Google Pixel,The camera on the Google Pixel is disappointing.,2016-09-29 16:10:32
Samsung Galaxy,The Samsung Galaxy is a great value for the price.,2016-09-29 08:33:24
OnePlus,The camera quality on the OnePlus is amazing.,2016-08-22 16:10:59
iPhone,I regret buying the iPhone. Not worth the money.,2016-08-31 05:15:34
Xiaomi,The Xiaomi is a great value for the price.,2016-07-07 09:07:45
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-16 10:17:52
OnePlus,Battery life on the OnePlus is excellent.,2016-09-11 16:12:38
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-09-05 05:19:47
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-09-14 18:48:02
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-21 04:56:56
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-14 19:12:40
Samsung Galaxy,Why is my Samsung Galaxy overheating?,2016-09-11 22:54:32
iPhone,The display on the iPhone is so vibrant and clear.,2016-09-29 14:46:33
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-09-19 08:16:58
OnePlus,Touchscreen on my OnePlus is unresponsive at times.,2016-07-29 23:42:19
Xiaomi,The Xiaomi is a great value for the price.,2016-08-22 13:01:13
iPhone,Battery life on the iPhone could be better.,2016-09-04 18:42:17
Samsung Galaxy,I'm impressed with the build quality of the Samsung Galaxy.,2016-07-18 06:35:25
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-08-14 04:07:00
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-26 17:15:45
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-09-11 09:12:36
Xiaomi,The Xiaomi keeps crashing. Frustrated!,2016-07-24 15:37:53
Samsung Galaxy,The Samsung Galaxy is really sleek and fast.,2016-09-15 19:52:34
OnePlus,Why is my OnePlus overheating?,2016-08-21 21:15:05
Xiaomi,The Xiaomi has exceeded my expectations!,2016-07-04 04:17:34
OnePlus,My OnePlus runs all my apps smoothly.,2016-07-27 00:59:48
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-09-09 00:03:43
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-08-30 06:13:30
Xiaomi,Really happy with the performance of my new Xiaomi.,2016-07-01 18:27:10
OnePlus,Just got my new OnePlus! Loving it so far.,2016-08-15 05:32:49
Google Pixel,Why is my Google Pixel overheating?,2016-08-12 16:14:07
OnePlus,The OnePlus keeps crashing. Frustrated!,2016-08-28 21:26:27
OnePlus,Battery life on the OnePlus is excellent.,2016-09-13 21:37:40
OnePlus,My OnePlus runs all my apps smoothly.,2016-07-27 00:44:52
iPhone,The iPhone has exceeded my expectations!,2016-08-06 19:51:38
Xiaomi,The display on the Xiaomi is so vibrant and clear.,2016-07-08 03:31:38
iPhone,I regret buying the iPhone. Not worth the money.,2016-07-28 16:11:30
iPhone,The camera on the iPhone is disappointing.,2016-07-02 19:58:28
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-09-23 19:49:01
OnePlus,I'm impressed with the build quality of the OnePlus.,2016-07-29 17:54:16
Xiaomi,Not too impressed with the Xiaomi. Expected more.,2016-09-29 14:25:48
Google Pixel,Why is my Google Pixel overheating?,2016-08-20 15:20:39
Xiaomi,Battery life on the Xiaomi could be better.,2016-08-31 19:09:25
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-14 23:23:26
iPhone,Having some issues with my iPhone. Anyone else?,2016-09-22 18:09:34
iPhone,Not too impressed with the iPhone. Expected more.,2016-07-10 16:21:10
Xiaomi,My Xiaomi runs all my apps smoothly.,2016-07-22 18:38:27
Xiaomi,My Xiaomi is slower than expected.,2016-08-19 04:59:19
Xiaomi,Touchscreen on my Xiaomi is unresponsive at times.,2016-08-09 11:32:46
iPhone,Touchscreen on my iPhone is unresponsive at times.,2016-09-27 08:10:51
Xiaomi,My Xiaomi is slower than expected.,2016-08-04 23:17:32
Samsung Galaxy,Battery life on the Samsung Galaxy could be better.,2016-08-13 21:57:26
iPhone,The camera on the iPhone is disappointing.,2016-09-05 19:35:57
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-09-23 19:26:30
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-08-06 12:24:01
Google Pixel,The camera on the Google Pixel is disappointing.,2016-08-25 13:03:17
iPhone,The iPhone is a great value for the price.,2016-07-02 21:49:39
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-22 19:45:32
Xiaomi,Battery life on the Xiaomi is excellent.,2016-08-19 22:33:46
OnePlus,The camera quality on the OnePlus is amazing.,2016-07-09 15:51:16
OnePlus,Experiencing connectivity issues with the OnePlus.,2016-07-21 11:32:08
OnePlus,Why is my OnePlus overheating?,2016-09-16 14:23:11
Xiaomi,My Xiaomi is slower than expected.,2016-09-04 00:32:29
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-08-07 00:49:25
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-18 08:36:54
OnePlus,My OnePlus runs all my apps smoothly.,2016-08-07 13:56:21
Xiaomi,Having some issues with my Xiaomi. Anyone else?,2016-08-20 05:02:21
Google Pixel,Just got my new Google Pixel! Loving it so far.,2016-07-07 22:00:27
Samsung Galaxy,Touchscreen on my Samsung Galaxy is unresponsive at times.,2016-07-06 07:30:09
Samsung Galaxy,Not too impressed with the Samsung Galaxy. Expected more.,2016-07-28 17:30:18
OnePlus,Just got my new OnePlus! Loving it so far.,2016-07-17 07:45:52
iPhone,My iPhone runs all my apps smoothly.,2016-07-15 02:39:58
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-08-26 23:02:57
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-08-11 17:02:52
Xiaomi,Just got my new Xiaomi! Loving it so far.,2016-08-10 03:07:37
OnePlus,Having some issues with my OnePlus. Anyone else?,2016-08-23 08:59:38
iPhone,Experiencing connectivity issues with the iPhone.,2016-08-08 05:07:08
Xiaomi,I regret buying the Xiaomi. Not worth the money.,2016-09-17 06:37:00
iPhone,Why is my iPhone overheating?,2016-08-20 13:05:34
Samsung Galaxy,The Samsung Galaxy has exceeded my expectations!,2016-07-20 18:29:06
Google Pixel,Not too impressed with the Google Pixel. Expected more.,2016-08-21 05:55:38
Xiaomi,I'm impressed with the build quality of the Xiaomi.,2016-09-04 02:43:49
iPhone,Just got my new iPhone! Loving it so far.,2016-09-14 14:34:13
Samsung Galaxy,Really happy with the performance of my new Samsung Galaxy.,2016-07-17 15:47:00
iPhone,I'm impressed with the build quality of the iPhone.,2016-08-16 13:54:41
